tileX,tileY,firstCoveredAt
306283,152341,2026-04-25T07:48:55.149235Z
306284,152344,2026-04-25T07:48:55.155598Z
306284,152343,2026-04-25T07:48:55.156262Z
306283,152343,2026-04-25T07:48:55.156617Z
306284,152341,2026-04-25T07:48:55.156982Z
306283,152342,2026-04-25T07:48:55.157324Z
306284,152345,2026-04-25T07:48:55.198203Z
306285,152342,2026-04-25T07:48:55.201734Z
306285,152343,2026-04-25T07:48:55.219692Z
306285,152345,2026-04-25T07:48:55.226385Z
306285,152346,2026-04-25T07:48:55.228456Z
306286,152343,2026-04-25T07:48:55.245039Z
306286,152344,2026-04-25T07:48:55.250683Z
306286,152347,2026-04-25T07:48:55.266613Z
306286,152348,2026-04-25T07:48:55.271029Z
306286,152349,2026-04-25T07:48:55.276748Z
306287,152344,2026-04-25T07:48:55.281559Z
306287,152345,2026-04-25T07:48:55.287251Z
306287,152349,2026-04-25T07:48:55.296773Z
306287,152350,2026-04-25T07:48:55.302544Z
306287,152351,2026-04-25T07:48:55.312695Z
306288,152345,2026-04-25T07:48:55.319744Z
306288,152351,2026-04-25T07:48:55.324469Z
306288,152352,2026-04-25T07:48:55.33104Z
306288,152353,2026-04-25T07:48:55.342554Z
306289,152345,2026-04-25T07:48:55.349991Z
306289,152346,2026-04-25T07:48:55.360753Z
306289,152352,2026-04-25T07:48:55.370951Z
306289,152353,2026-04-25T07:48:55.400229Z
306290,152346,2026-04-25T07:48:55.405704Z
306290,152350,2026-04-25T07:48:55.446087Z
306291,152345,2026-04-25T07:48:55.488159Z
306290,152351,2026-04-25T07:48:55.51757Z
306291,152346,2026-04-25T07:48:55.540479Z
306291,152347,2026-04-25T07:48:55.597946Z
306291,152348,2026-04-25T07:48:55.614692Z
306291,152349,2026-04-25T07:48:55.615442Z
306291,152350,2026-04-25T07:48:55.625753Z
306292,152345,2026-04-25T07:48:55.64323Z
306292,152346,2026-04-25T07:48:55.658804Z
306292,152347,2026-04-25T07:48:55.666939Z
306292,152350,2026-04-25T07:48:55.684568Z
306293,152347,2026-04-25T07:48:55.694064Z
306293,152349,2026-04-25T07:48:55.713717Z
306293,152348,2026-04-25T07:48:55.717758Z
306273,152350,2026-04-25T07:49:04.91984Z
306275,152351,2026-04-25T07:49:04.923945Z
306275,152349,2026-04-25T07:49:04.925215Z
306274,152350,2026-04-25T07:49:04.926228Z
306275,152350,2026-04-25T07:49:04.926609Z
306274,152349,2026-04-25T07:49:04.926828Z
306276,152349,2026-04-25T07:49:04.932144Z
306276,152350,2026-04-25T07:49:04.933214Z
306276,152351,2026-04-25T07:49:04.938015Z
306276,152352,2026-04-25T07:49:04.938429Z
306277,152348,2026-04-25T07:49:04.943053Z
306277,152349,2026-04-25T07:49:04.947837Z
306277,152350,2026-04-25T07:49:04.949326Z
306277,152351,2026-04-25T07:49:04.951987Z
306277,152352,2026-04-25T07:49:04.95338Z
306277,152353,2026-04-25T07:49:04.960263Z
306278,152348,2026-04-25T07:49:04.960652Z
306278,152349,2026-04-25T07:49:04.961118Z
306278,152351,2026-04-25T07:49:04.966742Z
306278,152352,2026-04-25T07:49:04.969511Z
306278,152353,2026-04-25T07:49:04.97412Z
306279,152348,2026-04-25T07:49:04.974668Z
306279,152349,2026-04-25T07:49:04.979777Z
